,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA,MIN_TYPE
386,S0021503,Churchman Nickel,Churchman Ni,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02969,Churchman Nickel,Public,Public,-29.969904,117.732586,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021503,2021-07-28,
387,S0021505,Anomaly 11 - Blair,Anomaly 11,"Ni, PGE, Au",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.96147,121.715897,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021505,2021-07-28,
388,S0021506,Blair Norton,Norton,Ni,Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.929609,121.723099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021506,2021-07-28,
389,S0021513,Marshall,Marshall,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.89171,121.6922,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021513,2021-07-28,
390,S0021514,Duplex West,Duplex W,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.96336,121.7145,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021514,2021-07-28,
391,S0021515,Anomaly 20 SW - Duplex Hill,Anomaly 20 SW,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.969042,121.724402,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021515,2021-07-28,
392,S0021529,Cooke - 166N,Cooke,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.444269,121.534599,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021529,2021-07-28,
393,S0021537,Killaloe Nickel,Killaloe Ni,"Ni, Cu, PGE",Prospect,Outcrop,Undeveloped,NICKEL,STEEL ALLOY METAL,J04932,Killaloe Nickel,Public,Public,-31.977496,121.940651,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021537,2021-07-28,
394,S0021538,Jericho Nickel,Jericho,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02978,Jericho / BHP Billiton,Public,Public,-27.04018,120.445602,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021538,2021-07-28,
395,S0021541,Mt Sholl Group,Mt Sholl Group,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04952,Mt Sholl,Public,Public,-20.923389,116.8862,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021541,2021-07-28,
