,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
3509,"(-23.715655, 119.281652)",S0002505,-23.697174,119.252986,3.568727047702048 km
3510,"(-20.77564, 118.781097)",S0022306,-20.695869,118.85686,11.843381245488967 km
3511,"(-20.768925, 118.802339)",S0022810,-20.695869,118.85686,9.882665223735524 km
3512,"(-24.638213, 118.585512)",S0001538,-24.653257,118.585076,1.6669728464614442 km
3513,"(-24.638213, 118.585512)",S0001538,-24.637936,118.599404,1.4068134556251317 km
3514,"(-24.638213, 118.585512)",S0001538,-24.668274,118.604504,3.8449770899911764 km
3515,"(-24.638213, 118.585512)",S0001538,-24.641668,118.633613,4.884869831427277 km
3516,"(-24.638213, 118.585512)",S0001538,-24.639411,118.588883,0.3661810939768325 km
3517,"(-24.638213, 118.585512)",S0001538,-24.643565,118.568199,1.8503334522379598 km
3518,"(-24.638213, 118.585512)",S0001538,-24.648006,118.612682,2.956845784711336 km
3519,"(-21.079196, 116.927548)",S0001501,-21.097561,116.890248,4.376797951875949 km
3520,"(-21.079069, 116.923897)",S0019518,-21.097561,116.890248,4.051780748449257 km
3521,"(-21.066667, 116.936068)",S0022459,-21.097561,116.890248,5.862601355213649 km
3522,"(-21.079069, 116.923897)",S0023122,-21.097561,116.890248,4.051780748449257 km
3523,"(-21.079196, 116.927548)",S0001501,-21.027788,116.989558,8.59843675335691 km
3524,"(-21.079069, 116.923897)",S0019518,-21.027788,116.989558,8.877412293414688 km
3525,"(-21.066667, 116.936068)",S0022459,-21.027788,116.989558,7.031282872265196 km
3526,"(-21.079069, 116.923897)",S0023122,-21.027788,116.989558,8.877412293414688 km
3527,"(-21.079196, 116.927548)",S0001501,-21.059916,116.899478,3.6147113551982297 km
3528,"(-21.079069, 116.923897)",S0019518,-21.059916,116.899478,3.3070625065472594 km
3529,"(-21.066667, 116.936068)",S0022459,-21.059916,116.899478,3.875435076142494 km
3530,"(-21.079069, 116.923897)",S0023122,-21.059916,116.899478,3.3070625065472594 km
3531,"(-21.079196, 116.927548)",S0001501,-21.031284,116.987585,8.18991317423367 km
3532,"(-21.079069, 116.923897)",S0019518,-21.031284,116.987585,8.473792341008705 km
3533,"(-21.066667, 116.936068)",S0022459,-21.031284,116.987585,6.6345754662984175 km
3534,"(-21.079069, 116.923897)",S0023122,-21.031284,116.987585,8.473792341008705 km
3535,"(-21.079196, 116.927548)",S0001501,-21.021282,116.990935,9.193420156484798 km
3536,"(-21.079069, 116.923897)",S0019518,-21.021282,116.990935,9.459539639240587 km
3537,"(-21.066667, 116.936068)",S0022459,-21.021282,116.990935,7.600825214420592 km
3538,"(-21.079069, 116.923897)",S0023122,-21.021282,116.990935,9.459539639240587 km
3539,"(-21.228789, 119.276288)",S0004433,-21.355886,119.280601,14.079402563142914 km
3540,"(-21.228789, 119.276288)",S0004433,-21.349115,119.280496,13.32974546669451 km
3541,"(-20.77564, 118.781097)",S0022306,-20.792384,118.71224,7.4051320838300665 km
3542,"(-20.768925, 118.802339)",S0022810,-20.792384,118.71224,9.734138857322936 km
3543,"(-24.638213, 118.585512)",S0001538,-24.637712,118.63207,4.7140395200281 km
3544,"(-24.638213, 118.585512)",S0001538,-24.642153,118.611273,2.6443599363357726 km
3545,"(-24.638213, 118.585512)",S0001538,-24.656315,118.6176,3.8174689636127375 km
3546,"(-24.638213, 118.585512)",S0001538,-24.639738,118.572449,1.3332822284765589 km
3547,"(-24.638213, 118.585512)",S0001538,-24.643718,118.572627,1.4399780209039674 km
3548,"(-24.638213, 118.585512)",S0001538,-24.636856,118.615996,3.089987251665718 km
3549,"(-24.638213, 118.585512)",S0001538,-24.645041,118.582483,0.8161256672800603 km
3550,"(-27.05574, 117.697197)",S0001380,-26.970137,117.74907,10.792137017960306 km
3551,"(-27.05574, 117.697197)",S0001380,-26.970126,117.751085,10.890009665535347 km
3552,"(-28.827388, 117.012276)",S0033008,-28.920068,117.012721,10.27215759570177 km
3553,"(-28.847024, 117.032666)",S0033009,-28.920068,117.012721,8.326251184469415 km
3554,"(-21.079196, 116.927548)",S0001501,-21.032332,116.986478,8.027096526578315 km
3555,"(-21.079069, 116.923897)",S0019518,-21.032332,116.986478,8.311478254932586 km
3556,"(-21.066667, 116.936068)",S0022459,-21.032332,116.986478,6.473239932184269 km
3557,"(-21.079069, 116.923897)",S0023122,-21.032332,116.986478,8.311478254932586 km
3558,"(-28.765087, 116.962407)",S0001256,-28.692472,116.986078,8.373653324017223 km
3559,"(-28.744567, 116.945103)",S0001257,-28.692472,116.986078,7.025866266704522 km
3560,"(-28.765087, 116.962407)",S0002039,-28.692472,116.986078,8.373653324017223 km
3561,"(-28.776882, 116.964949)",S0018874,-28.692472,116.986078,9.580262065152894 km
3562,"(-28.767751, 116.959301)",S0018875,-28.692472,116.986078,8.743737856242305 km
3563,"(-28.74515, 116.943556)",S0019515,-28.692472,116.986078,7.165613870863881 km
3564,"(-28.774319, 116.963017)",S0020268,-28.692472,116.986078,9.346762805006597 km
3565,"(-28.769453, 116.960083)",S0020269,-28.692472,116.986078,8.90181296958363 km
3566,"(-28.775338, 116.95315)",S0020270,-28.692472,116.986078,9.731162347232795 km
3567,"(-21.079196, 116.927548)",S0001501,-20.951677,116.897597,14.4578202262158 km
3568,"(-21.079069, 116.923897)",S0019518,-20.951677,116.897597,14.367050383245855 km
3569,"(-21.066667, 116.936068)",S0022459,-20.951677,116.897597,13.344828484790057 km
3570,"(-21.079069, 116.923897)",S0023122,-20.951677,116.897597,14.367050383245855 km
3571,"(-28.827388, 117.012276)",S0033008,-28.919103,117.010914,10.165979014944197 km
3572,"(-28.847024, 117.032666)",S0033009,-28.919103,117.010914,8.265781347728304 km
3573,"(-23.715655, 119.281652)",S0002505,-23.722511,119.290732,1.1974451584269783 km
