,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
385239,9.0,0.06,113.5,4.0,0.0025,5.6,0.04,0.7,-25.475693,118.662981
385240,15.0,0.025,37.7,3.2,0.0025,7.3,0.005,0.9,-25.475453,118.656304
385241,4.0,0.08,6.2,16.1,0.031,1.3,0.005,0.8,-25.482154,118.654497
385242,46.0,0.025,292.2,10.8,0.007,5.7,0.005,0.9,-25.44285,118.607733
385243,315.0,0.35,309.6,7.8,0.002,546.3,0.04,1.2,-25.443666,118.612407
385244,9.0,0.025,10.3,6.9,0.002,3.8,0.005,1.7,-25.47975,118.647541
385526,20.0,0.11,1.6,41.2,,0.6,0.019,0.09,-20.994678,120.087234
385527,84.0,0.11,17.5,18.8,,7.5,0.034,0.16,-20.995142,120.087531
385528,6.0,0.03,3.7,24.3,,2.3,0.0025,0.08,-21.047064,120.057825
385529,17.0,0.07,1.9,19.3,,0.6,0.006,0.08,-21.046578,120.06473
385530,11.0,0.07,3.9,36.5,,1.5,0.006,0.1,-21.046107,120.065352
385531,9.0,0.04,1.7,27.1,,0.5,0.0025,0.08,-21.003528,120.090977
385532,8.0,0.12,1.9,27.9,,0.6,0.0025,0.07,-21.009142,120.099378
385533,39.0,0.08,1.3,29.0,,2.1,0.016,0.2,-21.009495,120.099325
385534,320.0,0.11,2.8,190.0,,2.7,0.024,0.16,-21.03047,120.100888
385535,7.0,0.37,7.5,14.6,,0.9,0.028,0.1,-20.987616,120.068958
385536,4.0,0.14,9.7,11.8,,0.6,0.047,0.07,-20.987447,120.069353
385537,24.0,0.13,4.8,22.4,,1.7,0.03,0.1,-20.989219,120.073184
385538,14.0,0.14,3.2,23.4,,0.6,0.014,0.1,-20.989259,120.070974
385539,2.0,0.08,2.2,21.2,,0.5,0.009,0.08,-20.989297,120.070375
385540,52.0,0.04,2.6,41.0,,0.5,0.093,0.1,-20.982924,120.114627
385541,128.0,0.08,4.7,31.2,,0.7,1.305,0.11,-20.983033,120.114085
385542,15.0,0.03,12.1,31.6,,1.2,0.025,0.12,-20.981033,120.117801
385543,13.0,0.07,16.7,31.6,,0.8,0.01,0.08,-20.980962,120.117742
385544,5.0,0.03,1.4,18.7,,0.3,0.036,0.09,-20.980817,120.117322
385545,7.0,0.01,4.0,3.2,,0.7,0.011,0.06,-20.980764,120.116735
385546,4.0,0.02,3.3,10.2,,0.4,0.011,0.08,-20.980713,120.116578
385547,33.0,0.07,2.2,30.6,,0.4,0.043,0.1,-20.981255,120.120963
385548,49.0,0.04,3.6,41.2,,0.4,0.081,0.11,-20.981026,120.121151
385556,116.0,1.53,129.7,0.1,0.001,78.6,0.02,0.025,-31.37418,123.217033
385566,662.0,0.3,5710.0,124.0,0.01,211.0,1.195,0.05,-23.772431,117.697011
385624,4.3,1.7,1905.0,30.7,0.018,,0.24,0.28,-27.35383,115.579063
385625,2.9,0.57,308.0,43.8,0.009,,0.04,0.28,-27.353855,115.578042
385627,88.2,0.03,16.0,14.2,0.003,49.6,0.02,0.64,-27.340422,115.573422
385629,3.4,0.11,182.3,25.0,0.005,,0.12,0.21,-27.351706,115.564644
385630,3.2,0.48,507.9,17.3,0.006,,1.18,0.38,-27.351847,115.566068
385631,4.4,2.9,1430.0,32.4,0.003,,0.3,0.26,-27.351844,115.566745
385634,4.7,0.34,37.4,140.0,0.002,1.4,0.16,0.77,-27.306355,115.573332
385641,3.7,0.92,1044.0,27.2,0.004,,0.14,0.27,-27.353821,115.579053
385646,43.0,0.19,53.4,51.7,0.002,29.6,0.19,0.48,-27.297542,115.591774
385647,29.0,0.17,41.2,69.6,0.002,21.5,0.28,0.64,-27.296404,115.595254
385648,208.0,0.31,67.1,59.5,0.002,73.4,0.14,0.67,-27.364328,115.590707
385649,335.0,0.28,20.2,38.5,0.003,45.2,0.15,1.36,-27.365517,115.567348
385650,152.0,0.3,113.2,56.1,0.004,80.6,0.27,0.79,-27.366558,115.559792
385651,84.9,2.9,227.8,0.023,0.0031,0.6,0.07,0.21,-27.353829,115.580792
385652,5.9,0.02,12.2,11.3,4.9995,1.7,0.01,3.73,-27.31367,115.579929
385653,5.7,4.5,20.9,116.0,0.0041,1.2,0.01,2.37,-27.318179,115.580377
385654,3.9,3.8,23.1,18.9,0.0143,0.6,0.01,3.58,-27.318122,115.581004
385656,2.4,0.06,4.7,15.9,4.9995,0.5,0.01,2.38,-27.302938,115.576387
385657,1.7,1.1,836.1,8.5,0.0034,0.4,0.21,0.38,-27.351832,115.566422
385658,2.4,0.03,9.5,18.4,4.9995,0.5,0.01,0.46,-27.351826,115.566746
385659,4.5,0.23,29.7,102.0,0.016,1.0,0.01,0.47,-27.341765,115.483293
385719,68.0,0.02,18.3,0.5,0.001,73.8,0.034,0.001,-30.960369,121.379495
